START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/25/2014,7:00 PM,7:00 PM,Phoenix at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,ROOT,03/25/2014,03/25/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/25/2014,6:00 PM,6:00 PM,FREE,BUSY
03/27/2014,7:00 PM,7:00 PM,Los Angeles at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-W /  ROOT,03/27/2014,03/27/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/27/2014,6:00 PM,6:00 PM,FREE,BUSY
03/28/2014,7:00 PM,7:00 PM,Pittsburgh at Columbus,Nationwide Arena - Columbus - OH,ROOT /  FS-O,03/28/2014,03/28/2014,10:00 PM,10:00 PM,FALSE,TRUE,03/28/2014,6:00 PM,6:00 PM,FREE,BUSY
03/30/2014,7:30 PM,7:30 PM,Chicago at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NBC / TSN2 / NBCSN,03/30/2014,03/30/2014,10:30 PM,10:30 PM,FALSE,TRUE,03/30/2014,6:30 PM,6:30 PM,FREE,BUSY
04/01/2014,7:00 PM,7:00 PM,Carolina at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-CR /  ROOT,04/01/2014,04/01/2014,10:00 PM,10:00 PM,FALSE,TRUE,04/01/2014,6:00 PM,6:00 PM,FREE,BUSY
04/03/2014,7:00 PM,8:00 PM,Pittsburgh at Winnipeg,MTS Centre - Winnipeg - MB,ROOT /  TSN-JETS,04/03/2014,04/03/2014,10:00 PM,11:00 PM,FALSE,TRUE,04/03/2014,6:00 PM,7:00 PM,FREE,BUSY
04/05/2014,7:00 PM,8:00 PM,Pittsburgh at Minnesota,Xcel Energy Center - St. Paul - MN,ROOT /  FS-N,04/05/2014,04/05/2014,10:00 PM,11:00 PM,FALSE,TRUE,04/05/2014,6:00 PM,7:00 PM,FREE,BUSY
04/06/2014,6:00 PM,8:00 PM,Pittsburgh at Colorado,Pepsi Center - Denver - CO,ROOT /  ALT,04/06/2014,04/06/2014,9:00 PM,11:00 PM,FALSE,TRUE,04/06/2014,5:00 PM,7:00 PM,FREE,BUSY
04/09/2014,8:00 PM,8:00 PM,Detroit at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN,04/09/2014,04/09/2014,11:00 PM,11:00 PM,FALSE,TRUE,04/09/2014,7:00 PM,7:00 PM,FREE,BUSY
04/12/2014,3:00 PM,3:00 PM,Philadelphia at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,NBC,04/12/2014,04/12/2014,6:00 PM,6:00 PM,FALSE,TRUE,04/12/2014,2:00 PM,2:00 PM,FREE,BUSY
04/13/2014,7:30 PM,7:30 PM,Ottawa at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN /  ROOT,04/13/2014,04/13/2014,10:30 PM,10:30 PM,FALSE,TRUE,04/13/2014,6:30 PM,6:30 PM,FREE,BUSY
