START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
06/01/13,07:15 PM,07:15 PM,Reds at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",06/01/13,06/01/13,10:15 PM,10:15 PM,FALSE,TRUE,06/01/13,06:15 PM,06:15 PM,FREE,BUSY
06/02/13,01:35 PM,01:35 PM,Reds at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/02/13,06/02/13,04:35 PM,04:35 PM,FALSE,TRUE,06/02/13,12:35 PM,12:35 PM,FREE,BUSY
06/11/13,07:05 PM,07:05 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",06/11/13,06/11/13,10:05 PM,10:05 PM,FALSE,TRUE,06/11/13,06:05 PM,06:05 PM,FREE,BUSY
06/12/13,07:05 PM,07:05 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/12/13,06/12/13,10:05 PM,10:05 PM,FALSE,TRUE,06/12/13,06:05 PM,06:05 PM,FREE,BUSY
06/13/13,07:05 PM,07:05 PM,Giants at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/13/13,06/13/13,10:05 PM,10:05 PM,FALSE,TRUE,06/13/13,06:05 PM,06:05 PM,FREE,BUSY
06/14/13,07:05 PM,07:05 PM,Dodgers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/14/13,06/14/13,10:05 PM,10:05 PM,FALSE,TRUE,06/14/13,06:05 PM,06:05 PM,FREE,BUSY
06/15/13,04:05 PM,04:05 PM,Dodgers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/15/13,06/15/13,07:05 PM,07:05 PM,FALSE,TRUE,06/15/13,03:05 PM,03:05 PM,FREE,BUSY
06/16/13,01:35 PM,01:35 PM,Dodgers at Pirates,PNC Park,"Local TV: TBS -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/16/13,06/16/13,04:35 PM,04:35 PM,FALSE,TRUE,06/16/13,12:35 PM,12:35 PM,FREE,BUSY
06/28/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",06/28/13,06/28/13,10:05 PM,10:05 PM,FALSE,TRUE,06/28/13,06:05 PM,06:05 PM,FREE,BUSY
06/29/13,07:15 PM,07:15 PM,Brewers at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",06/29/13,06/29/13,10:15 PM,10:15 PM,FALSE,TRUE,06/29/13,06:15 PM,06:15 PM,FREE,BUSY
